providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Amica Mutual Insurance Company	12-14-2017	Premium and Rating	Satisfied	Voluntary Reconsider	20054	09-03-2017
Amica Mutual Insurance Company	11-15-2017	Premium and Rating	Company Position Upheld	Unjustified	11068	12-08-2016
Trumbull Insurance Company	08-08-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21057	01-05-2016
Anthem Health Plans, Inc	09-21-2017	Marketing-Sales	Corrective Action	Justified	9055	29-04-2016
Anthem Health Plans, Inc	12-04-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21055	01-09-2016
ConnectiCare Insurance Company, Inc	11-30-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Justified	9073	14-02-2016
ConnectiCare Insurance Company, Inc	11-17-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21071	15-08-2017
Allstate Life Insurance Company	11-02-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21064	06-07-2017
GEICO General Insurance Company	12-06-2017	Unfair Claims Practice	Corrective Action	Justified	9058	20-11-2013
Allstate Insurance Company	12-15-2017	Unfair Claims Practice	Coverage Granted	Furnished Information	21057	03-11-2016
Foremost Insurance Company Grand Rapids, Michigan	12-05-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Questionable	12082	18-08-2017
Liberty Mutual Fire Insurance Company	11-22-2017	Unfair Claims Practice	Contract Provision	Unjustified	11070	16-09-2016
Plymouth Rock Assurance Corporation	11-21-2017	Marketing-Sales	Company Position Upheld	Unjustified	11073	15-03-2016
Plymouth Rock Assurance Corporation	11-21-2017	Marketing-Sales	Company Position Upheld	Unjustified	11073	20-01-2018
Anthem Health Plans, Inc	12-29-2017	Unfair Claims Practice	Record Only	No Action Necessary	19050	05-02-2017
Starr Indemnity & Liability Company	12-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	17-06-2013
Anthem Health Plans, Inc	12-15-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	19-03-2014
Anthem Health Plans, Inc	12-19-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21060	15-03-2014
Metropolitan Life Insurance Company	12-04-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11062	26-05-2013
USAA General Indemnity Company	10-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	02-05-2014
ConnectiCare Inc	12-06-2017	Marketing-Sales	Corrective Action	Unjustified	11043	03-05-2014
Brighthouse Life Insurance Company	08-04-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21057	12-03-2017
State Farm Mutual Automobile Insurance Company	12-07-2017	Unfair Claims Practice	Corrective Action	Questionable	12073	23-08-2014
Life Insurance Company of North America	10-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	09-02-2017
Allstate Insurance Company	11-13-2017	Unfair Claims Practice	Claim Settled	Justified	9054	02-01-2014
21st Century North America Insurance Company	11-13-2017	Unfair Claims Practice	Claim Settled	Justified	9072	06-01-2014
Old Dominion Insurance Company	10-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	09-09-2015
NGM Insurance Company	12-06-2017	Premium and Rating	Contract Provision	Unjustified	11049	17-11-2013
Anthem Health Plans, Inc	12-07-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11057	27-07-2013
Trumbull Insurance Company	11-21-2017	Marketing-Sales	Company Position Upheld	Unjustified	11064	02-09-2017
Esurance Insurance Company	12-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11058	31-08-2017
CSAA General Insurance Company	10-13-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21068	26-02-2017
Graphic Arts Mutual Insurance Company	12-07-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11070	14-12-2016
American Empire Insurance Company	12-07-2017	Unfair Claims Practice	Corrective Action	Questionable	12060	26-04-2013
Bankers Life and Casualty Company	12-19-2017	Premium and Rating	Company Position Upheld	Unjustified	11071	25-05-2016
Anthem Health Plans, Inc	10-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	09-03-2017
Vermont Mutual Insurance Company	11-22-2017	Unfair Claims Practice	Contract Provision	Unjustified	11065	27-04-2016
Nationwide General Insurance Company	04-26-2017	Marketing-Sales	Satisfied	Furnished Information	21060	14-03-2014
Oxford Health Insurance, Incorporated	12-07-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	20-09-2015
Oxford Health Insurance, Incorporated	11-14-2017	Marketing-Sales	Furnished Information	Furnished Information	21073	18-12-2013
Nationwide General Insurance Company	10-17-2017	Premium and Rating	Corrective Action	Unjustified	11068	31-08-2014
Fidelity & Guaranty Life Insurance Company	12-05-2017	Premium and Rating	Furnished Information	Furnished Information	21073	08-10-2015
SAFECO Insurance Company of America	12-27-2017	Other	Furnished Information	Furnished Information	21071	10-10-2017
Permanent General Assurance Corporation	12-20-2017	Marketing-Sales	Company Position Upheld	Unjustified	11077	17-12-2013
Anthem Health Plans, Inc	12-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11056	07-12-2015
Valley Forge Insurance Company	12-20-2017	Marketing-Sales	Company Position Upheld	Unjustified	11068	06-04-2015
Vermont Mutual Insurance Company	12-12-2017	Marketing-Sales	Contract Provision	Furnished Information	21060	20-09-2016
Progressive Direct Insurance Company	10-11-2017	Premium and Rating	Rate Increase Explained	Furnished Information	21069	29-05-2016
American Empire Insurance Company	12-05-2017	Premium and Rating	Furnished Information	Furnished Information	21064	04-12-2014
21st Century North America Insurance Company	08-10-2017	Unfair Claims Practice	Contract Provision	Unjustified	11072	02-09-2013
ConnectiCare Insurance Company, Inc	08-10-2017	Unfair Claims Practice	Contract Provision	Unjustified	11063	15-12-2015
State Farm Mutual Automobile Insurance Company	11-29-2017	Marketing-Sales	Claim Settled	Furnished Information	21074	10-10-2015
United American Insurance Company	12-11-2017	Unfair Claims Practice	Claim Settled	Unjustified	11056	09-11-2015
American General Life Insurance Company	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	23-05-2013
Anthem Health Plans, Inc	12-22-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21059	23-10-2015
Anthem Health Plans, Inc	12-05-2017	Unfair Claims Practice	Corrective Action	Justified	9051	02-04-2015
Progressive Casualty Insurance Company	11-29-2017	Marketing-Sales	Claim Settled	Furnished Information	21066	30-08-2015
Progressive Direct Insurance Company	01-05-2018	Marketing-Sales	Complaint Withdrawn	No Action Necessary	19065	04-03-2014
Anthem Health Plans, Inc	12-27-2017	Other	Furnished Information	Furnished Information	21060	08-07-2013
Genworth Life Insurance Company	11-29-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	15-12-2016
Anthem Health Plans, Inc	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	04-07-2014
CSAA Fire & Casualty Insurance Company	12-22-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21074	02-07-2017
CSAA Fire & Casualty Insurance Company	12-11-2017	Unfair Claims Practice	Claim Settled	Unjustified	11061	15-06-2017
HealthyCT, Inc.	11-28-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11053	21-10-2015
GEICO General Insurance Company	11-13-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21064	20-10-2017
Foremost Insurance Company Grand Rapids, Michigan	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11082	27-01-2018
Anthem Health Plans, Inc	08-28-2017	Underwriting	Cancellation Upheld	Unjustified	11058	17-01-2014
Allstate Insurance Company	12-13-2017	Unfair Claims Practice	Corrective Action	Justified	9057	17-10-2015
ConnectiCare Insurance Company, Inc	12-15-2017	Premium and Rating	Complaint Withdrawn	No Action Necessary	19069	26-12-2016
HealthyCT, Inc.	08-25-2017	Unfair Claims Practice	Corrective Action	Justified	9047	10-09-2017
Oxford Health Plans (CT), Inc	12-18-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	05-12-2015
Anthem Health Plans, Inc	11-21-2017	Unfair Claims Practice	Corrective Action	Justified	9056	11-08-2017
Progressive Casualty Insurance Company	12-08-2017	Premium and Rating	Premium Refund	Unjustified	11062	10-09-2014
California Casualty Indemnity Exchange	12-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11071	01-04-2016
Anthem Health Plans, Inc	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	21-12-2016
Allstate Insurance Company	12-13-2017	Unfair Claims Practice	Corrective Action	Justified	9058	30-05-2017
Allstate Indemnity Company	12-21-2017	Underwriting	Cancellation Upheld	Unjustified	11060	30-12-2015
Anthem Health Plans, Inc	12-13-2017	Unfair Claims Practice	Record Only	No Action Necessary	19050	10-07-2016
Foremost Insurance Company Grand Rapids, Michigan	12-11-2017	Unfair Claims Practice	Claim Settled	Unjustified	11072	16-09-2016
Starr Indemnity & Liability Company	08-25-2017	Unfair Claims Practice	Corrective Action	Justified	9067	27-01-2016
Allstate Insurance Company	12-11-2017	Unfair Claims Practice	Claim Settled	Unjustified	11049	23-05-2016
American Commerce Insurance Company	12-13-2017	Unfair Claims Practice	Claim Settled	Unjustified	11063	15-01-2016
Anthem Health Plans, Inc	12-07-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21047	26-04-2015
GEICO Indemnity Company	08-28-2017	Underwriting	Cancellation Upheld	Unjustified	11057	28-10-2014
ConnectiCare Insurance Company, Inc	12-20-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	31-10-2015
Liberty Mutual Fire Insurance Company	12-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	17-01-2013
Standard Fire Insurance Company (The)	12-13-2017	Marketing-Sales	Company Position Upheld	Unjustified	11075	27-09-2013
Liberty Mutual Insurance Company	11-16-2017	Underwriting	Policy Not In Force	Unjustified	11066	13-07-2017
Allstate Insurance Company	12-15-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11064	03-08-2014
United Services Automobile Association	10-26-2017	Unfair Claims Practice	Contract Provision	Unjustified	11071	06-10-2013
Arch Insurance Company	12-20-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21055	11-10-2016
Allstate Insurance Company	12-27-2017	Unfair Claims Practice	Provider Issue	Furnished Information	21054	22-11-2013
Anthem Health Plans, Inc	12-20-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21057	17-11-2013
GEICO General Insurance Company	12-20-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	03-08-2014
Omni Insurance Company	11-08-2017	Unfair Claims Practice	Claim Settled	Justified	9045	14-11-2016
Anthem Health Plans, Inc	12-13-2017	Unfair Claims Practice	Corrective Action	Justified	9056	09-01-2016
Starr Indemnity & Liability Company	12-13-2017	Marketing-Sales	Contract Provision	Unjustified	11068	18-12-2013
Integon National Insurance Company	12-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	17-12-2017
Liberty Mutual Insurance Company	10-26-2017	Unfair Claims Practice	Contract Provision	Unjustified	11065	21-03-2015
Aetna Life Insurance Company	11-16-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	01-09-2016
GEICO Indemnity Company	12-13-2017	Unfair Claims Practice	Corrective Action	Justified	9055	21-11-2017
QBE Insurance Corporation	11-08-2017	Unfair Claims Practice	Claim Settled	Justified	9048	07-08-2016
Esurance Insurance Company	12-21-2017	Marketing-Sales	Company Position Upheld	Unjustified	11064	11-01-2014
Harvard Pilgrim Health Care of Connecticut, Inc.	12-14-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21076	20-08-2013
Anthem Health Plans, Inc	12-20-2017	Marketing-Sales	Furnished Information	Furnished Information	21060	07-10-2013
Harvard Pilgrim Health Care of Connecticut, Inc.	11-30-2017	Utilization Review	Claim Settled	Furnished Information	21076	12-01-2014
Allstate Insurance Company	12-13-2017	Utilization Review	External Review Info Sent	Furnished Information	21066	27-03-2014
Aetna Life Insurance Company	12-26-2017	Unfair Claims Practice	Corrective Action	Questionable	12060	14-04-2017
James River Insurance Company	12-22-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	26-09-2017
Allstate Life Insurance Company	11-30-2017	Premium and Rating	Company Position Upheld	Unjustified	11069	13-12-2013
Harleysville Worcester Insurance Company	11-03-2017	Unfair Claims Practice	Usual & Custom Explained	Furnished Information	21074	26-03-2013
Esurance Insurance Company	12-12-2017	Unfair Claims Practice	Claim Settled	Unjustified	11049	08-09-2013
GEICO Indemnity Company	12-28-2017	Underwriting	Non-Renewal Rescinded	Justified	9059	22-10-2017
James River Insurance Company	12-28-2017	Unfair Claims Practice	Refer To Appraisal	Unjustified	11062	12-04-2017
Aetna Life Insurance Company	11-13-2017	Unfair Claims Practice	Contract Provision	Unjustified	11061	13-03-2017
GEICO Indemnity Company	11-08-2017	Unfair Claims Practice	Insufficient Information	Justified	9057	10-06-2014
Oxford Health Plans (CT), Inc	12-15-2017	Premium and Rating	Company Position Upheld	Unjustified	11067	01-02-2014
ConnectiCare Benefits, Inc.	12-13-2017	Utilization Review	External Review Info Sent	Furnished Information	21067	10-11-2016
Oxford Health Insurance, Incorporated	11-03-2017	Unfair Claims Practice	Usual & Custom Explained	Furnished Information	21071	02-10-2015
Oxford Health Plans (CT), Inc	12-28-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21065	27-06-2016
GEICO Indemnity Company	11-08-2017	Unfair Claims Practice	Insufficient Information	Justified	9057	16-04-2016
Progressive Casualty Insurance Company	12-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	13-04-2017
Standard Fire Insurance Company (The)	05-05-2017	Marketing-Sales	Satisfied	Furnished Information	21056	11-02-2015
Anthem Health Plans, Inc	12-22-2017	Premium and Rating	Company Position Upheld	Unjustified	11062	31-03-2017
Allstate Fire and Casualty Insurance Company	12-26-2017	Unfair Claims Practice	Corrective Action	Questionable	12076	07-06-2017
LM General Insurance Company	12-15-2017	Premium and Rating	Company Position Upheld	Unjustified	11066	23-10-2015
Liberty Insurance Corporation	11-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	26-09-2013
Esurance Insurance Company	12-28-2017	Marketing-Sales	Policy Issued	Furnished Information	21054	15-10-2016
Anthem Health Plans, Inc	11-21-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21052	23-10-2013
Progressive Direct Insurance Company	12-15-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	17-06-2013
Oxford Health Plans (CT), Inc	12-28-2017	Marketing-Sales	Policy Issued	Furnished Information	21057	11-12-2015
Anthem Health Plans, Inc	12-28-2017	Unfair Claims Practice	Policy Not In Force	Furnished Information	21058	29-04-2017
